StartTime: 2023-05-27 22:54:23.805
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz	SV	PDOP	HDOP	VDOP
0x50	 22:54:23.805	-0.0215	-0.0029	1.0000	0.0000	0.0000	0.0000	-0.0549	1.3184	25.3894	35.27	3.99	2133	4408	-4442	0	0.00	0.00	0.00
0x50	 22:54:23.915	-0.0215	-0.0034	1.0005	0.0000	0.0000	0.0000	-0.0604	1.3129	25.3784	35.30	3.99	2129	4402	-4450	0	0.00	0.00	0.00
0x50	 22:54:23.996	-0.0215	-0.0029	1.0010	0.0000	0.0000	0.0000	-0.0659	1.3074	25.3674	35.27	3.99	2133	4407	-4417	0	0.00	0.00	0.00
0x50	 22:54:24.105	-0.0225	-0.0029	0.9995	0.0000	0.0000	0.0000	-0.0769	1.3074	25.3564	35.26	3.99	2127	4418	-4434	0	0.00	0.00	0.00
0x50	 22:54:24.189	-0.0220	-0.0024	1.0000	0.0000	0.0000	0.0000	-0.0769	1.3019	25.3455	35.24	3.99	2124	4417	-4454	0	0.00	0.00	0.00
0x50	 22:54:24.307	-0.0215	-0.0029	1.0010	0.0000	0.0000	0.0000	-0.0824	1.3019	25.3345	35.28	3.99	2130	4435	-4448	0	0.00	0.00	0.00
0x50	 22:54:24.390	-0.0234	-0.0049	0.9971	0.0610	-0.4272	0.0000	-0.0879	1.2964	25.3235	35.27	3.99	2122	4425	-4448	0	0.00	0.00	0.00
0x50	 22:54:24.496	-0.0254	-0.0029	0.9966	-0.9766	-3.0518	-4.6997	-0.1373	1.4996	26.3068	35.26	3.99	2187	4433	-4452	0	0.00	0.00	0.00
0x50	 22:54:24.608	-0.0239	-0.0029	0.9990	0.0000	0.0000	-0.1221	-0.1318	1.4227	26.1859	35.26	3.99	2183	4465	-4452	0	0.00	0.00	0.00
0x50	 22:54:24.711	-0.0234	-0.0039	0.9995	0.0000	0.0000	0.0000	-0.1318	1.4172	26.1200	35.29	3.99	2193	4452	-4463	0	0.00	0.00	0.00
0x50	 22:54:24.796	-0.0239	-0.0034	0.9980	0.0610	-0.3052	0.2441	-0.1373	1.4117	26.0706	35.29	3.99	2206	4447	-4476	0	0.00	0.00	0.00
0x50	 22:54:24.909	-0.0239	-0.0024	1.0000	0.0610	-0.4883	-0.0610	-0.1373	1.3568	26.0211	35.26	3.99	2192	4451	-4484	0	0.00	0.00	0.00
0x50	 22:54:25.008	-0.0225	-0.0034	0.9995	0.0000	0.0000	0.0000	-0.1428	1.3458	25.9662	35.26	3.99	2187	4436	-4472	0	0.00	0.00	0.00
